,Rank,Player,Sleeper Count,Overrated Count,Experts
872,826,Ildemaro Vargas,,,
873,827,David Bote,,,
874,828,Garrett Stubbs,,,
875,829,David Hensley,,,
876,830,Victor Reyes,,,
877,831,Robert Gasser,,,
878,832,Reyes Moronta,,,
879,833,Adrian Martinez,,,
880,834,Ron Marinaccio,,,
881,835,Emilio Pagan,,,
882,836,Colin Poche,,,
883,837,Cole Winn,,,
884,838,Caleb Kilian,,,
885,839,Christian EncarnacionStrand,,,
886,840,Pedro Leon,,,
887,841,Aristides Aquino,,,
888,842,Andre Pallante,,,
889,843,Jon Singleton,,,
890,844,Jalen Beeks,,,
891,845,Brian Serven,,,
892,846,Gilberto Celestino,,,
893,847,Tyler Gentry,,,
894,848,Darin Ruf,,,
895,849,Yadiel Hernandez,,,
896,850,Mitch White,,,
897,851,Matt Festa,,,
898,852,Travis Swaggerty,,,
899,853,Jared Shuster,,,
900,854,Gordon Graceffo,,,
901,855,Caleb Thielbar,,,
902,856,Ronny Mauricio,,,
903,857,Wil Crowe,,,
904,858,Jovani Moran,,,
905,859,Matt Reynolds,,,
906,860,Cole Ragans,,,
907,861,Andy Pages,,,
908,862,Buck Farmer,,,
909,863,Matt Strahm,,,
910,864,Bryan Baker,,,
911,865,Andrew Velazquez,,,
912,866,Henry Davis,,,
913,867,Thad Ward,,,
914,868,Erick Fedde,,,
915,869,Yoelqui Cespedes,,,
916,870,Rob Refsnyder,,,
917,871,Tyler Freeman,,,
918,872,Konnor Pilkington,,,
919,873,Luke Williams,,,
920,874,Leury Garcia,,,
921,875,Zach Neto,,,
922,876,Cionel Perez,,,
923,877,Tommy La Stella,,,
924,878,Greg Allen,,,
925,879,Freddy Tarnok,,,
926,880,Jay Groome,,,
927,881,Brayan Rocchio,,,
928,882,Seth Beer,,,
929,883,Brent Suter,,,
930,884,Justin Dunn,,,
931,885,Penn Murfee,,,
932,886,Evan Carter,1,,Salfino
933,887,Reese Olson,,,
934,888,Scott Effross,,,
935,889,Connor Thomas,,,
936,890,Carlos Hernandez,,,
937,891,Owen White,,,
938,892,Franchy Cordero,,,
939,893,Spencer Howard,,,
940,894,Max Castillo,,,
941,895,Mike Brosseau,,,
942,896,Bryan Mata,,,
943,897,Mike Baumann,,,
944,898,Lewis Brinson,,,
945,899,Sergio Alcantara,,,
946,900,Kole Calhoun,,,
947,901,Rony Garcia,,,
948,902,Brandon Walter,,,
949,903,Sam Long,,,
950,904,Chad Kuhl,,,
951,905,Tucupita Marcano,,,
952,906,Duane Underwood ,,,
953,907,JJ Matijevic,,,
954,908,Nomar Mazara,,,
955,909,Luis Medina,,,
956,910,Caleb Ferguson,,,
957,911,Chris Archer,,,
958,912,Danny Duffy,,,
959,913,Zach Thompson,,,
960,913,Zach Thompson,,,
961,913,Zach Thompson,,,
962,913,Zach Thompson,,,
963,913,Zach Thompson,,,
964,913,Zach Thompson,,,
965,913,Zach Thompson,,,
966,913,Zach Thompson,,,
967,914,Connor Seabold,,,
968,915,Zack Collins,,,
969,,nan,,,
970,,nan,,,
