,Rank,Player,Team_x,Positions,Yahoo,AVG,Key,Name_x,G,GS,IP,SV,xFIP-,SwStr%,F-Strike%,Barrel%_x,HardHit%,CSW%,K%+_x,BB%+_x,xERA,EV_x,ER,playerid_x,STUFFplus,LOCATIONplus,PITCHINGplus,Total Z-Score_x,Total Z-Score_y,PA,HR,SB,Off,wRC+,wOBA,ISO+,Barrel%_y,BsR,Spd,BB%+_y,K%+_y,Oppo%+,EV_y,maxEV,xwOBA
109,108.0,Willson Contreras,STL,CDH,110.0,1106,WilCon,,,,,,,,,,,,,,,,,,,,,,9.93,376.0,20.0,2.0,14.0,138.0,0.37,147.0,134,-2.6,3.4,124.0,122.0,89.0,90.4,115.2,0.347
110,108.0,Willson Contreras,STL,CDH,110.0,1106,WilCon,,,,,,,,,,,,,,,,,,,,,,9.93,487.0,22.0,4.0,15.1,132.0,0.357,144.0,105,-2.8,4.2,111.0,94.0,97.0,90.4,116.2,0.364
111,108.0,Willson Contreras,STL,CDH,110.0,1106,WilCon,,,,,,,,,,,,,,,,,,,,,,9.64,376.0,20.0,2.0,14.0,138.0,0.37,147.0,134,-2.6,3.4,124.0,122.0,89.0,90.4,115.2,0.347
112,108.0,Willson Contreras,STL,CDH,110.0,1106,WilCon,,,,,,,,,,,,,,,,,,,,,,9.64,487.0,22.0,4.0,15.1,132.0,0.357,144.0,105,-2.8,4.2,111.0,94.0,97.0,90.4,116.2,0.364
113,109.0,Luis Severino,NYY,SP,102.0,1116,LuiSev,Luis Severino,19.0,19.0,102.0,0.0,86.0,123,640,69,413,281,124.0,92.0,2.94,89.4,36.0,15890.0,108.8,102.3,104.0,9.28,,,,,,,,,,,,,,,,,
114,110.0,Clayton Kershaw,LAD,SP,88.0,1122,ClaKer,Clayton Kershaw,22.0,22.0,126.1,0.0,71.0,139,686,42,332,310,123.0,56.0,2.51,87.1,32.0,2036.0,105.7,104.0,105.5,10.99,,,,,,,,,,,,,,,,,
115,111.0,Jeremy Pena,HOU,SS,105.0,1142,JerPen,,,,,,,,,,,,,,,,,,,,,,3.58,558.0,22.0,11.0,4.8,102.0,0.309,116.0,96,3.7,5.3,50.0,109.0,92.0,88.1,110.5,0.3
116,112.0,Steven Kwan,CLE,LFRF,119.0,1160,SteKwa,,,,,,,,,,,,,,,,,,,,,,3.91,638.0,6.0,19.0,22.0,124.0,0.341,68.0,14,4.9,6.2,122.0,42.0,136.0,85.1,107.1,0.312
117,113.0,George Kirby,SEA,SP,136.0,1166,GeoKir,George Kirby,25.0,25.0,130.0,0.0,84.0,97,677,86,380,259,110.0,51.0,3.31,89.3,49.0,25436.0,98.6,107.0,104.9,0.47,,,,,,,,,,,,,,,,,
118,114.0,Blake Snell,SD,SP,123.0,1170,BlaSne,Blake Snell,24.0,24.0,128.0,0.0,81.0,147,647,74,389,290,141.0,115.0,3.19,90.1,48.0,13543.0,119.5,99.0,105.2,19.71,,,,,,,,,,,,,,,,,
119,115.0,Christian Walker,ARI,1B,160.0,1182,ChrWal,,,,,,,,,,,,,,,,,,,,,,10.74,667.0,36.0,2.0,16.9,122.0,0.346,152.0,115,-0.3,2.7,124.0,87.0,95.0,90.0,112.6,0.359
120,116.0,Seiya Suzuki,CHC,RF,116.0,1184,SeiSuz,,,,,,,,,,,,,,,,,,,,,,7.24,446.0,14.0,9.0,7.9,116.0,0.334,111.0,110,-0.4,4.5,113.0,109.0,130.0,89.6,111.3,0.327
121,117.0,Jake McCarthy,ARI,LFCFRF,109.0,1214,JakMcC,,,,,,,,,,,,,,,,,,,,,,4.82,354.0,8.0,23.0,14.3,116.0,0.337,92.0,48,7.7,7.6,78.0,95.0,103.0,87.4,108.3,0.298
122,118.0,Hunter Greene,CIN,SP,138.0,1222,HunGre,Hunter Greene,24.0,24.0,125.2,0.0,91.0,145,644,94,401,292,137.0,109.0,4.0,89.7,62.0,22182.0,128.1,100.3,106.3,15.7,,,,,,,,,,,,,,,,,
123,119.0,Giancarlo Stanton,NYY,RFDH,107.0,1224,GiaSta,,,,,,,,,,,,,,,,,,,,,,14.71,452.0,31.0,0.0,4.8,115.0,0.327,168.0,192,-2.6,0.9,139.0,136.0,105.0,95.0,119.8,0.351
124,120.0,Anthony Santander,BAL,LFRFDH,135.0,1232,AntSan,,,,,,,,,,,,,,,,,,,,,,7.12,647.0,33.0,0.0,14.9,120.0,0.336,144.0,116,0.3,1.6,107.0,85.0,81.0,90.1,112.0,0.352
125,121.0,Christian Yelich,MIL,LFDH,122.0,1234,ChrYel,,,,,,,,,,,,,,,,,,,,,,14.85,671.0,14.0,19.0,11.9,111.0,0.328,84.0,82,3.4,6.0,157.0,107.0,123.0,91.5,117.2,0.339
126,122.0,Bryce Harper,PHI,RFDH,94.0,1240,BryHar,,,,,,,,,,,,,,,,,,,,,,13.5,426.0,18.0,11.0,18.1,138.0,0.369,146.0,128,-0.9,4.6,129.0,90.0,101.0,92.1,114.3,0.38
127,123.0,Gleyber Torres,NYY,2B,118.0,1250,GleTor,,,,,,,,,,,,,,,,,,,,,,8.07,572.0,24.0,10.0,9.8,115.0,0.328,130.0,107,-0.2,4.1,86.0,102.0,119.0,90.4,111.3,0.319
128,124.0,Chris Bassitt,TOR,SP,137.0,1252,ChrBas,Chris Bassitt,30.0,30.0,181.2,0.0,93.0,100,609,66,328,292,99.0,79.0,3.46,85.7,69.0,12304.0,97.6,102.3,101.4,4.1,,,,,,,,,,,,,,,,,
129,125.0,Kris Bryant,COL,LF,124.0,1266,KriBry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,126.0,Nick Lodolo,CIN,SP,142.0,1278,NicLod,Nick Lodolo,19.0,19.0,103.1,0.0,88.0,123,673,91,385,298,131.0,107.0,3.97,88.7,42.0,26378.0,105.3,96.6,98.5,12.55,,,,,,,,,,,,,,,,,
131,127.0,Anthony Rizzo,NYY,1B,125.0,1288,AntRiz,,,,,,,,,,,,,,,,,,,,,,9.98,548.0,32.0,6.0,16.4,132.0,0.352,171.0,109,-3.6,3.7,133.0,83.0,90.0,89.4,113.3,0.349
132,128.0,CJ Cron,COL,1BDH,126.0,1294,CJCro,,,,,,,,,,,,,,,,,,,,,,6.44,632.0,29.0,0.0,1.5,101.0,0.335,136.0,108,0.5,2.4,81.0,115.0,107.0,88.6,115.5,0.321
133,129.0,Sean Murphy,ATL,CDH,171.0,1304,SeaMur,,,,,,,,,,,,,,,,,,,,,,5.17,612.0,18.0,1.0,13.8,122.0,0.331,118.0,105,-1.4,2.7,115.0,91.0,92.0,88.7,114.0,0.344
134,130.0,William Contreras,MIL,CDH,148.0,1314,WilCon,,,,,,,,,,,,,,,,,,,,,,9.93,376.0,20.0,2.0,14.0,138.0,0.37,147.0,134,-2.6,3.4,124.0,122.0,89.0,90.4,115.2,0.347
135,130.0,William Contreras,MIL,CDH,148.0,1314,WilCon,,,,,,,,,,,,,,,,,,,,,,9.93,487.0,22.0,4.0,15.1,132.0,0.357,144.0,105,-2.8,4.2,111.0,94.0,97.0,90.4,116.2,0.364
136,130.0,William Contreras,MIL,CDH,148.0,1314,WilCon,,,,,,,,,,,,,,,,,,,,,,9.64,376.0,20.0,2.0,14.0,138.0,0.37,147.0,134,-2.6,3.4,124.0,122.0,89.0,90.4,115.2,0.347
137,130.0,William Contreras,MIL,CDH,148.0,1314,WilCon,,,,,,,,,,,,,,,,,,,,,,9.64,487.0,22.0,4.0,15.1,132.0,0.357,144.0,105,-2.8,4.2,111.0,94.0,97.0,90.4,116.2,0.364
138,131.0,Tony Gonsolin,LAD,SP,129.0,1316,TonGon,Tony Gonsolin,24.0,24.0,130.1,0.0,93.0,123,633,56,344,287,106.0,85.0,3.12,89.0,31.0,19388.0,102.2,99.9,102.3,13.26,,,,,,,,,,,,,,,,,
139,132.0,Nick Castellanos,PHI,RF,106.0,1344,NicCas,,,,,,,,,,,,,,,,,,,,,,-2.41,558.0,13.0,7.0,-6.8,94.0,0.304,81.0,66,-2.8,3.4,62.0,103.0,127.0,87.5,110.1,0.302
140,133.0,Taylor Ward,LAA,CFRF,146.0,1348,TayWar,,,,,,,,,,,,,,,,,,,,,,11.47,564.0,23.0,5.0,23.9,137.0,0.362,129.0,121,0.7,3.4,134.0,96.0,97.0,89.9,112.6,0.361
141,134.0,Lance Lynn,CWS,SP,143.0,1352,LanLyn,Lance Lynn,21.0,21.0,121.2,0.0,87.0,133,654,67,387,267,109.0,46.0,3.62,88.4,54.0,2520.0,98.2,103.8,99.6,-0.89,,,,,,,,,,,,,,,,,
142,135.0,Amed Rosario,CLE,SSLF,150.0,1356,AmeRos,,,,,,,,,,,,,,,,,,,,,,3.95,670.0,11.0,18.0,3.4,103.0,0.311,81.0,45,1.5,6.7,47.0,75.0,110.0,88.4,115.8,0.31
143,136.0,Max Muncy,LAD,2B3BDH,139.0,1358,MaxMun,,,,,,,,,,,,,,,,,,,,,,7.69,565.0,21.0,2.0,6.3,106.0,0.318,121.0,134,2.1,3.0,191.0,110.0,79.0,90.3,111.2,0.339
144,137.0,Clay Holmes,NYY,RP,117.0,1360,ClaHol,Clay Holmes,62.0,0.0,63.2,20.0,73.0,126,554,18,428,304,113.0,96.0,2.41,89.0,18.0,13649.0,121.8,95.5,101.9,3.02,,,,,,,,,,,,,,,,,
145,138.0,David Bednar,PIT,RP,112.0,1368,DavBed,David Bednar,45.0,0.0,51.2,19.0,71.0,153,600,73,460,315,145.0,92.0,3.22,90.5,15.0,19569.0,112.3,99.8,104.5,10.65,,,,,,,,,,,,,,,,,
146,139.0,Jesus Luzardo,MIA,SP,140.0,1378,JesLuz,Jesus Luzardo,18.0,18.0,100.1,0.0,78.0,138,653,66,391,310,133.0,106.0,3.39,89.0,37.0,19959.0,103.1,98.9,99.4,14.31,,,,,,,,,,,,,,,,,
147,140.0,Freddy Peralta,MIL,SP,133.0,1414,FrePer,Freddy Peralta,18.0,17.0,78.0,0.0,92.0,122,580,35,313,296,120.0,103.0,2.7,87.1,31.0,18679.0,106.7,99.5,101.7,5.03,,,,,,,,,,,,,,,,,
148,141.0,Andrew Vaughn,CWS,1BLFRFDH,147.0,1468,AndVau,,,,,,,,,,,,,,,,,,,,,,0.28,555.0,17.0,0.0,4.9,113.0,0.327,106.0,79,-3.2,1.8,70.0,78.0,111.0,90.8,112.1,0.319
149,142.0,Scott Barlow,KC,RP,120.0,1478,ScoBar,Scott Barlow,69.0,0.0,74.1,24.0,87.0,144,610,69,298,332,120.0,95.0,2.96,86.4,18.0,14993.0,109.7,99.1,102.8,4.47,,,,,,,,,,,,,,,,,
150,143.0,Eugenio Suarez,SEA,3B,141.0,1482,EugSua,,,,,,,,,,,,,,,,,,,,,,11.29,629.0,31.0,0.0,19.2,131.0,0.344,149.0,148,-2.5,2.2,146.0,140.0,95.0,89.8,111.4,0.339
151,144.0,Hunter Renfroe,LAA,RF,164.0,1490,HunRen,,,,,,,,,,,,,,,,,,,,,,6.5,522.0,29.0,1.0,12.9,124.0,0.347,152.0,109,-1.6,2.2,89.0,103.0,95.0,90.5,112.5,0.323
152,145.0,Daniel Bard,COL,RP,131.0,1492,DanBar,Daniel Bard,57.0,0.0,60.1,34.0,83.0,113,592,47,378,306,125.0,123.0,2.49,87.7,12.0,7115.0,109.5,97.9,101.2,10.79,,,,,,,,,,,,,,,,,
153,146.0,Lucas Giolito,CWS,SP,144.0,1494,LucGio,Lucas Giolito,30.0,30.0,161.2,0.0,93.0,122,613,75,390,291,114.0,109.0,4.23,88.8,88.0,15474.0,91.5,100.1,97.9,11.48,,,,,,,,,,,,,,,,,
154,147.0,Dustin May,LAD,SP,157.0,1500,DusMay,Dustin May,6.0,6.0,30.0,0.0,105.0,129,591,51,329,287,101.0,133.0,3.67,86.6,15.0,19716.0,103.7,98.9,100.9,1.28,,,,,,,,,,,,,,,,,
155,148.0,Joe Ryan,MIN,SP,149.0,1504,JoeRya,Joe Ryan,27.0,27.0,147.0,0.0,110.0,114,644,86,354,273,113.0,97.0,3.57,88.2,58.0,21390.0,97.4,102.6,99.2,10.12,,,,,,,,,,,,,,,,,
156,149.0,Jose Miranda,MIN,1B3BDH,162.0,1510,JosMir,,,,,,,,,,,,,,,,,,,,,,-3.64,483.0,15.0,1.0,4.6,117.0,0.329,106.0,62,-4.5,1.5,73.0,85.0,91.0,89.3,109.4,0.317
157,150.0,Brandon Lowe,TB,2B,145.0,1516,BraLow,,,,,,,,,,,,,,,,,,,,,,1.53,266.0,8.0,1.0,3.3,104.0,0.306,108.0,103,2.0,4.2,128.0,103.0,101.0,89.4,112.2,0.32
158,151.0,Chris Sale,BOS,SP,163.0,1542,ChrSal,,,,,,,,,,,,,,,,,,106.0,103.3,100.7,,,,,,,,,,,,,,,,,,
159,152.0,Pablo Lopez,MIN,SP,151.0,1546,PabLop,Pablo Lopez,32.0,32.0,180.0,0.0,89.0,127,629,90,351,281,105.0,87.0,3.75,87.9,75.0,17085.0,95.3,103.2,101.4,7.98,,,,,,,,,,,,,,,,,
160,153.0,Jhoan Duran,MIN,RP,132.0,1552,JhoDur,Jhoan Duran,57.0,0.0,67.2,8.0,53.0,181,635,45,350,326,151.0,75.0,2.22,88.2,14.0,21029.0,124.4,101.2,105.2,6.06,,,,,,,,,,,,,,,,,
161,154.0,Jorge Polanco,MIN,2B,158.0,1554,JorPol,,,,,,,,,,,,,,,,,,,,,,5.29,445.0,16.0,3.0,10.5,119.0,0.333,114.0,102,0.9,2.3,181.0,96.0,85.0,89.0,111.0,0.358
162,155.0,Mitch Haniger,SF,RF,134.0,1566,MitHan,,,,,,,,,,,,,,,,,,,,,,0.55,247.0,11.0,0.0,2.7,113.0,0.319,123.0,118,-0.9,1.5,102.0,118.0,88.0,91.9,111.0,0.328
163,156.0,Alexis Diaz,CIN,RP,127.0,1568,AleDia,Alexis Diaz,59.0,0.0,63.2,10.0,99.0,165,604,75,328,306,144.0,156.0,2.76,86.7,13.0,21132.0,112.4,96.1,103.6,14.85,-8.7,327.0,12.0,1.0,-5.3,96.0,0.301,108.0,63,-3.8,2.1,69.0,73.0,76.0,86.6,112.0,0.308
164,157.0,Matt Chapman,TOR,3B,169.0,1578,MatCha,,,,,,,,,,,,,,,,,,,,,,10.69,621.0,27.0,2.0,15.0,117.0,0.331,137.0,129,3.1,2.9,138.0,123.0,71.0,92.2,112.7,0.341
165,158.0,Jordan Montgomery,STL,SP,192.0,1580,JorMon,Jordan Montgomery,32.0,32.0,178.1,0.0,87.0,129,657,71,374,286,98.0,61.0,4.0,88.5,69.0,16511.0,99.6,102.6,99.8,7.12,,,,,,,,,,,,,,,,,
166,159.0,Ian Happ,CHC,LF,165.0,1590,IanHap,,,,,,,,,,,,,,,,,,,,,,6.86,641.0,17.0,9.0,15.2,120.0,0.339,109.0,65,0.7,3.9,108.0,103.0,101.0,89.7,113.9,0.306
167,160.0,Rowdy Tellez,MIL,1B,210.0,1608,RowTel,,,,,,,,,,,,,,,,,,,,,,6.66,599.0,35.0,2.0,0.7,110.0,0.327,156.0,129,-6.6,1.8,124.0,89.0,77.0,91.1,116.9,0.349
168,161.0,Ty France,SEA,1B3B,156.0,1616,TyFra,,,,,,,,,,,,,,,,,,,,,,-0.4,613.0,20.0,0.0,14.9,126.0,0.337,108.0,54,-2.8,1.5,72.0,69.0,111.0,87.6,110.4,0.321
169,162.0,Charlie Morton,ATL,SP,161.0,1630,ChaMor,Charlie Morton,31.0,31.0,172.0,0.0,90.0,122,587,95,421,306,125.0,104.0,4.11,89.3,83.0,4676.0,102.0,98.8,100.8,13.93,,,,,,,,,,,,,,,,,
170,163.0,Brandon Nimmo,NYM,CF,172.0,1640,BraNim,,,,,,,,,,,,,,,,,,,,,,8.7,673.0,16.0,3.0,26.6,134.0,0.353,102.0,70,-0.3,4.7,126.0,76.0,119.0,89.4,111.9,0.342
171,164.0,Jake Cronenworth,SD,1B2BSS,159.0,1664,JakCro,,,,,,,,,,,,,,,,,,,,,,4.92,684.0,17.0,3.0,13.7,109.0,0.318,98.0,56,6.8,4.3,122.0,85.0,121.0,87.6,108.6,0.303
172,165.0,Vaughn Grissom,ATL,2B,182.0,1680,VauGri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,166.0,Jeffrey Springs,TB,SPRP,173.0,1684,JefSpr,Jeffrey Springs,33.0,25.0,135.1,0.0,83.0,135,641,59,373,298,118.0,70.0,3.27,87.5,37.0,17677.0,93.0,104.7,103.9,8.84,,,,,,,,,,,,,,,,,
174,167.0,Andres Munoz,SEA,RP,152.0,1690,AndMun,Andres Munoz,64.0,0.0,65.0,4.0,51.0,216,681,53,361,356,174.0,75.0,1.84,86.2,18.0,20373.0,132.0,101.8,110.2,12.57,,,,,,,,,,,,,,,,,
175,168.0,Ryan Mountcastle,BAL,1BDH,167.0,1704,RyaMou,,,,,,,,,,,,,,,,,,,,,,9.0,609.0,22.0,4.0,5.0,106.0,0.316,116.0,150,0.7,3.0,89.0,114.0,119.0,91.3,112.0,0.362
176,169.0,Tyler Stephenson,CIN,C,175.0,1732,TylSte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,170.0,Cal Raleigh,SEA,C,201.0,1746,CalRal,,,,,,,,,,,,,,,,,,,,,,9.31,415.0,27.0,1.0,8.6,121.0,0.33,186.0,154,-1.0,2.5,115.0,132.0,89.0,90.9,114.0,0.324
178,171.0,Josh Bell,CLE,1BDH,187.0,1754,JosBel,,,,,,,,,,,,,,,,,,,,,,3.09,647.0,17.0,0.0,11.3,123.0,0.344,101.0,72,-5.6,2.4,150.0,70.0,104.0,88.9,112.2,0.349
179,172.0,Paul Sewald,SEA,RP,174.0,1774,PauSew,Paul Sewald,65.0,0.0,64.0,20.0,91.0,149,607,94,336,312,134.0,88.0,2.64,86.3,19.0,13892.0,132.0,98.7,111.1,3.23,,,,,,,,,,,,,,,,,
180,173.0,Liam Hendriks,CWS,RP,153.0,1798,LiaHen,Liam Hendriks,58.0,0.0,57.2,37.0,66.0,182,634,91,394,328,163.0,85.0,2.59,90.5,18.0,3548.0,133.0,98.5,108.1,17.95,,,,,,,,,,,,,,,,,
181,174.0,Javier Baez,DET,SS,179.0,1806,JavBae,,,,,,,,,,,,,,,,,,,,,,0.93,590.0,17.0,9.0,-4.3,90.0,0.291,104.0,80,2.5,5.2,55.0,112.0,100.0,87.9,112.1,0.285
182,175.0,Cody Bellinger,CHC,CF,178.0,1806,CodBel,,,,,,,,,,,,,,,,,,,,,,1.41,550.0,19.0,14.0,-6.2,83.0,0.284,115.0,83,4.5,6.3,83.0,121.0,79.0,89.4,107.3,0.278
183,176.0,Drew Rasmussen,TB,SP,183.0,1810,DreRas,Drew Rasmussen,28.0,28.0,146.0,0.0,90.0,121,627,66,379,259,96.0,66.0,3.46,88.9,46.0,25385.0,106.2,104.8,106.3,5.27,,,,,,,,,,,,,,,,,
184,177.0,Alex Verdugo,BOS,LFRF,195.0,1814,AleVer,,,,,,,,,,,,,,,,,,,,,,-2.34,644.0,11.0,1.0,0.8,103.0,0.319,84.0,60,-1.1,2.2,82.0,60.0,103.0,89.1,111.0,0.329
185,178.0,Grayson Rodriguez,BAL,SP,176.0,1832,GraRod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,179.0,Oscar Gonzalez,CLE,RF,189.0,1836,OscGon,,,,,,,,,,,,,,,,,,,,,,-2.83,382.0,11.0,1.0,8.3,122.0,0.339,111.0,73,-1.3,1.6,49.0,88.0,77.0,88.6,113.3,0.32
187,180.0,Alec Bohm,PHI,1B3B,206.0,1850,AleBoh,,,,,,,,,,,,,,,,,,,,,,-0.3,631.0,13.0,2.0,-2.2,98.0,0.31,76.0,68,-0.5,3.4,59.0,77.0,121.0,90.2,110.8,0.333
188,181.0,Jeff McNeil,NYM,2BLFRF,168.0,1852,JefMcN,,,,,,,,,,,,,,,,,,,,,,1.22,589.0,9.0,4.0,31.3,143.0,0.365,82.0,27,2.0,3.3,81.0,46.0,105.0,86.9,110.0,0.323
189,182.0,Brady Singer,KC,SP,184.0,1876,BraSin,Brady Singer,27.0,24.0,153.1,0.0,83.0,93,601,82,409,303,109.0,70.0,3.97,89.3,55.0,25377.0,97.2,102.1,99.6,3.3,,,,,,,,,,,,,,,,,
190,183.0,Lance McCullers ,HOU,SP,185.0,1882,LanMcC,Lance McCullers ,8.0,8.0,47.2,0.0,91.0,111,538,49,317,290,115.0,141.0,3.57,87.7,12.0,14120.0,106.6,96.3,101.3,5.45,,,,,,,,,,,,,,,,,
191,184.0,Riley Greene,DET,CF,213.0,1890,RilGre,,,,,,,,,,,,,,,,,,,,,,0.6,418.0,5.0,1.0,-1.1,98.0,0.303,73.0,93,-0.1,4.2,108.0,129.0,112.0,89.5,112.1,0.316
192,185.0,Whit Merrifield,TOR,2BCFRF,128.0,1900,WhiMer,,,,,,,,,,,,,,,,,,-910.5,-41.1,-532.4,,-2.03,550.0,11.0,16.0,-4.6,88.0,0.294,84.0,42,2.6,5.2,87.0,70.0,116.0,87.1,107.6,0.288
193,186.0,Nico Hoerner,CHC,SS,215.0,1904,NicHoe,,,,,,,,,,,,,,,,,,,,,,0.55,517.0,10.0,20.0,6.0,106.0,0.32,83.0,26,2.3,6.4,65.0,49.0,121.0,87.2,109.7,0.301
194,187.0,Brandon Drury,LAA,1B2B3BDH,170.0,1926,BraDru,,,,,,,,,,,,,,,,,,,,,,5.16,568.0,28.0,2.0,11.4,123.0,0.35,148.0,104,-3.6,3.5,80.0,98.0,92.0,89.1,112.4,0.316
195,188.0,JD Martinez,LAD,DH,188.0,1942,JDMar,,,,,,,,,,,,,,,,,,,,,,4.08,596.0,16.0,0.0,5.8,119.0,0.343,117.0,124,-7.3,2.1,110.0,110.0,118.0,89.1,111.6,0.349
196,189.0,Lars Nootbaar,STL,LFCFRF,214.0,1958,LarNoo,,,,,,,,,,,,,,,,,,,,,,9.58,347.0,14.0,4.0,11.3,125.0,0.342,142.0,121,1.4,5.5,176.0,90.0,85.0,91.7,113.0,0.346
197,190.0,Merrill Kelly,ARI,SP,368.0,1964,MerKel,Merrill Kelly,33.0,33.0,200.1,0.0,97.0,97,623,83,363,267,97.0,92.0,3.62,88.5,75.0,11156.0,95.9,104.8,101.8,8.3,,,,,,,,,,,,,,,,,
198,191.0,DJ LeMahieu,NYY,1B2B3B,166.0,1966,DJLeM,,,,,,,,,,,,,,,,,,,,,,2.62,541.0,12.0,4.0,6.0,116.0,0.329,77.0,53,-4.0,2.8,156.0,59.0,145.0,89.2,110.9,0.344
199,192.0,Jonathan India,CIN,2B,196.0,1970,JonInd,,,,,,,,,,,,,,,,,,,,,,-6.11,431.0,10.0,3.0,-3.5,95.0,0.314,84.0,48,-1.0,3.5,86.0,96.0,85.0,85.1,111.3,0.301
200,193.0,Pete Fairbanks,TB,RP,191.0,1970,PetFai,Pete Fairbanks,24.0,0.0,24.0,8.0,27.0,170,655,22,261,344,197.0,43.0,1.03,87.3,3.0,17998.0,151.3,103.7,118.1,6.3,,,,,,,,,,,,,,,,,
201,194.0,Masataka Yoshida,BOS,LF,236.0,1978,MasYos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,195.0,Ketel Marte,ARI,2BDH,228.0,2002,KetMar,,,,,,,,,,,,,,,,,,,,,,1.72,558.0,12.0,5.0,0.6,102.0,0.317,108.0,61,-0.9,4.2,118.0,80.0,85.0,90.1,115.0,0.315
203,196.0,KeBryan Hayes,PIT,3B,181.0,2018,KeBHay,,,,,,,,,,,,,,,,,,,,,,3.28,560.0,7.0,20.0,-6.8,88.0,0.294,65.0,39,0.9,5.3,103.0,96.0,131.0,91.0,113.0,0.303
204,197.0,Harrison Bader,NYY,CF,198.0,2020,HarBad,,,,,,,,,,,,,,,,,,,,,,-7.19,313.0,5.0,17.0,-0.7,86.0,0.286,69.0,34,4.2,7.4,58.0,88.0,75.0,83.4,109.6,0.27
205,198.0,Thairo Estrada,SF,2BSSLF,202.0,2026,ThaEst,,,,,,,,,,,,,,,,,,,,,,0.08,541.0,14.0,21.0,6.2,106.0,0.317,90.0,44,2.4,5.8,73.0,73.0,88.0,86.2,109.3,0.299
206,199.0,Patrick Sandoval,LAA,SP,327.0,2042,PatSan,Patrick Sandoval,27.0,27.0,148.2,0.0,93.0,133,580,57,339,292,107.0,117.0,3.91,87.3,48.0,19447.0,94.5,98.3,99.0,14.22,,,,,,,,,,,,,,,,,
207,200.0,Luis Arraez,MIA,1B2BDH,203.0,2046,LuiArr,,,,,,,,,,,,,,,,,,,,,,0.08,603.0,8.0,4.0,20.9,131.0,0.35,70.0,36,-0.2,3.0,104.0,32.0,123.0,88.9,107.3,0.333
208,201.0,Triston Casas,BOS,1B,344.0,2054,TriCas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,202.0,Jon Gray,TEX,SP,222.0,2056,JonGra,Jon Gray,24.0,24.0,127.1,0.0,88.0,116,674,61,380,293,116.0,93.0,3.59,88.0,56.0,14916.0,100.0,101.8,101.8,9.71,,,,,,,,,,,,,,,,,
210,203.0,Danny Jansen,TOR,C,423.0,2064,DanJan,,,,,,,,,,,,,,,,,,,,,,4.83,248.0,15.0,1.0,12.0,140.0,0.364,171.0,131,0.8,2.5,127.0,80.0,66.0,90.4,109.3,0.368
211,204.0,Jose Leclerc,TEX,RP,190.0,2092,JosLec,Jose Leclerc,39.0,0.0,47.2,7.0,111.0,174,652,67,325,298,123.0,132.0,3.17,86.6,15.0,14524.0,104.9,94.0,96.5,9.63,,,,,,,,,,,,,,,,,
212,205.0,Joey Meneses,WSH,1BRF,186.0,2118,JoeMen,,,,,,,,,,,,,,,,,,,,,,5.12,240.0,13.0,1.0,12.8,156.0,0.395,154.0,99,-2.8,2.4,75.0,96.0,109.0,91.4,110.9,0.332
213,206.0,Keibert Ruiz,WSH,C,258.0,2132,KeiRui,,,,,,,,,,,,,,,,,,,,,,-8.66,433.0,7.0,6.0,-5.2,90.0,0.299,70.0,37,-0.2,3.0,83.0,51.0,68.0,88.0,109.4,0.328
214,207.0,Tyler Anderson,LAA,SP,242.0,2136,TylAnd,Tyler Anderson,30.0,28.0,178.2,0.0,103.0,118,661,49,285,281,86.0,58.0,3.1,85.0,51.0,12880.0,93.1,104.8,100.9,2.98,,,,,,,,,,,,,,,,,
215,208.0,Jack Flaherty,STL,SP,338.0,2150,JacFla,Jack Flaherty,9.0,8.0,36.0,0.0,123.0,104,545,56,308,255,87.0,159.0,4.94,87.2,17.0,17479.0,96.5,95.5,94.7,0.62,,,,,,,,,,,,,,,,,
216,209.0,Jose Berrios,TOR,SP,219.0,2164,JosBer,Jose Berrios,32.0,32.0,172.0,0.0,107.0,93,660,95,434,277,89.0,74.0,5.11,90.0,100.0,14168.0,100.3,103.2,102.3,3.37,,,,,,,,,,,,,,,,,
217,210.0,Trevor Story,BOS,2B,180.0,2182,TreSto,,,,,,,,,,,,,,,,,,,,,,7.22,396.0,16.0,13.0,3.1,100.0,0.316,131.0,113,2.9,5.4,102.0,139.0,101.0,88.9,113.4,0.301
218,211.0,Anthony Rendon,LAA,3B,200.0,2184,AntRen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,212.0,Josh Rojas,ARI,2B3B,323.0,2218,JosRoj,,,,,,,,,,,,,,,,,,,,,,6.95,510.0,9.0,23.0,11.2,108.0,0.326,79.0,45,6.2,5.6,129.0,85.0,129.0,88.8,109.1,0.308
220,213.0,Miles Mikolas,STL,SP,218.0,2248,MilMik,Miles Mikolas,33.0,32.0,202.1,0.0,95.0,82,634,69,357,260,84.0,58.0,3.89,87.8,74.0,9803.0,90.1,106.3,100.8,-0.06,,,,,,,,,,,,,,,,,
